,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
553,"BEEF,GROUND,70% LN MEAT / 30% FAT,PATTY CKD,PAN-BROILED",59.36,238,22.86,15.54,1.04,0.0,0.0,0.0,37.0,2.41,20.0,194.0,308.0,92.0,5.82,0.066,0.012,19.2,0.0,0.043,0.177,5.034,0.593,0.332,10.0,0.0,10.0,10.0,70.1,2.79,10.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,2.0,2.8,6.075,7.325,0.408,84.0
554,"BEEF,BRISKET,FLAT HALF,BNLESS LN,0"" FAT,ALL GRDS,RAW",72.7,132,21.47,5.11,1.03,0.0,0.0,0.0,13.0,2.06,24.0,222.0,362.0,83.0,5.21,0.07,0.002,24.6,0.0,0.075,0.165,6.353,0.725,0.622,3.0,0.0,3.0,3.0,63.7,1.81,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.14,0.1,4.0,1.5,1.844,2.728,0.253,67.0
555,"BEEF,BRISKET,FLAT HALF,BNLESS LN,0"" FAT,ALL CHOICE,RAW",72.21,137,21.28,5.75,1.0,0.0,0.0,0.0,13.0,2.04,24.0,224.0,367.0,82.0,5.15,0.073,0.002,22.9,0.0,0.07,0.165,6.452,0.68,0.617,3.0,0.0,3.0,3.0,65.1,1.73,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.17,0.1,4.0,1.5,1.993,2.96,0.262,67.0
556,"BEEF,BRISKET,FLAT HALF,BNLESS,LN,0"" FAT,SEL,RAW",73.43,124,21.74,4.14,1.07,0.0,0.0,0.0,13.0,2.08,24.0,218.0,353.0,85.0,5.3,0.066,0.002,27.1,0.0,0.08,0.165,6.205,0.77,0.63,3.0,0.0,3.0,3.0,62.2,1.95,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.11,0.1,3.0,1.5,1.58,2.3,0.23,69.0
557,"BEEF,COMP OF RTL CUTS,LN&FAT,1/8""FAT,ALL GRDS,RAW",64.81,214,20.01,14.42,0.96,0.0,0.0,0.0,17.0,1.69,19.0,174.0,283.0,52.0,3.99,0.073,0.025,23.0,0.0,0.076,0.164,5.449,0.463,0.529,8.0,0.0,8.0,8.0,68.3,1.5,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.28,0.1,2.0,1.5,6.036,6.497,0.617,72.0
558,"BEEF,COMP OF RTL CUTS,LN&FAT,1/8""FAT,ALL GRDS,CKD",56.97,259,26.11,16.59,1.01,0.0,0.0,0.0,13.0,2.2,20.0,180.0,271.0,50.0,5.1,0.075,0.028,28.3,0.0,0.068,0.189,5.458,0.463,0.478,7.0,0.0,7.0,7.0,83.3,1.81,11.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.31,0.2,6.0,1.4,6.782,7.407,0.733,87.0
559,"BEEF,COMP OF RTL CUTS,LN&FAT,1/8""FAT,CHOIC,RAW",63.98,222,19.79,15.42,0.94,0.0,0.0,0.0,17.0,1.73,19.0,171.0,276.0,50.0,3.97,0.071,0.025,22.8,0.0,0.075,0.169,5.572,0.484,0.523,8.0,0.0,8.0,8.0,67.4,1.61,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.29,0.1,2.0,1.5,6.43,6.92,0.655,72.0
560,"BEEF,COMP OF RTL CUTS,LN&FAT,1/8""FAT,CHOIC,CKD",55.96,268,25.85,17.68,0.99,0.0,0.0,0.0,13.0,2.24,20.0,175.0,265.0,49.0,5.06,0.077,0.028,28.4,0.0,0.067,0.187,5.486,0.463,0.47,7.0,0.0,7.0,7.0,81.3,1.9,11.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.33,0.1,4.0,1.6,7.243,7.944,0.775,89.0
561,"BEEF,COMP OF RTL CUTS,LN&FAT,1/8""FAT,SEL,RAW",61.88,192,19.06,12.4,0.92,0.0,0.0,0.0,17.0,1.52,19.0,168.0,279.0,51.0,3.84,0.071,0.026,21.9,0.0,0.074,0.146,5.036,0.46,0.496,7.0,0.0,7.0,7.0,68.9,1.27,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,2.0,1.3,5.219,5.621,0.535,68.0
562,"BEEF,COMP OF RTL CUTS,LN&FAT,1/8""FAT,SEL,CKD",58.68,245,26.06,15.09,1.04,0.0,0.0,0.0,13.0,2.11,20.0,174.0,262.0,51.0,4.89,0.068,0.026,26.9,0.0,0.066,0.179,5.124,0.461,0.451,7.0,0.0,7.0,7.0,78.1,1.58,10.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.28,0.1,3.0,1.4,6.163,6.648,0.652,85.0
563,"BEEF,RIB,SML END (RIBS 10-12),LN&FAT,1/8""FAT,ALL GRDS,CKD,BR",53.65,291,25.85,20.04,1.05,0.0,0.0,0.0,19.0,1.66,22.0,201.0,323.0,53.0,4.67,0.078,0.009,28.0,0.0,0.07,0.125,6.881,0.51,0.541,8.0,0.0,8.0,8.0,98.5,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.3,13.0,1.8,7.894,8.355,0.762,97.0
564,"BEEF,RND,FULL CUT,LN&FAT,1/8""FAT,CHOIC,RAW",65.44,195,20.56,11.92,0.98,0.0,0.0,0.0,4.0,1.99,22.0,199.0,342.0,54.0,3.24,0.075,0.013,19.6,0.0,0.1,0.17,3.74,0.36,0.47,8.0,0.0,8.0,8.0,85.9,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.2,6.0,1.5,4.63,5.14,0.46,62.0
565,"BEEF,RND,EYE OF RND,RST,LN & FAT,1/8"" FAT,ALL GRDS,CKD,RSTD",61.97,208,28.31,9.65,1.1,0.0,0.0,0.0,7.0,2.29,18.0,174.0,227.0,37.0,4.7,0.067,0.01,28.7,0.0,0.065,0.151,4.947,0.558,0.372,9.0,0.0,9.0,9.0,107.8,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.2,6.0,1.4,3.664,4.117,0.392,84.0
566,"BEEF,RND,TOP RND STEAK,LN & FAT,1/8"" FAT,ALL GRDS,CKD,BRLD",59.59,204,30.67,9.0,1.16,0.0,0.0,0.0,7.0,2.53,20.0,193.0,252.0,41.0,5.2,0.074,0.011,31.7,0.0,0.07,0.163,5.36,0.605,0.403,10.0,0.0,10.0,10.0,116.8,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.1,6.0,1.5,3.415,3.837,0.367,90.0
567,"BEEF,BRISKET,FLAT HALF,BNLESS,LN & FAT,0"" FAT,ALL GRDS,RAW",69.89,165,20.32,9.29,0.98,0.0,0.0,0.0,13.0,2.0,22.0,210.0,344.0,80.0,4.98,0.067,0.002,23.1,0.0,0.075,0.154,6.019,0.689,0.59,3.0,0.0,3.0,3.0,59.9,1.76,12.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.14,0.1,4.0,1.5,3.592,4.586,0.393,67.0
568,"BEEF,SHRT LOIN,PRTRHS STEAK,LN&FAT,1/8""FAT,CHOIC,RAW",64.12,218,20.36,14.58,0.93,0.0,0.0,0.0,19.0,1.91,10.0,188.0,246.0,52.0,3.19,0.052,0.003,20.7,0.0,0.048,0.241,4.961,0.331,0.59,3.0,0.0,3.0,3.0,51.4,1.8,14.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.23,0.1,5.0,1.5,6.171,6.836,0.689,61.0
569,"BEEF,LOIN,TOP LOIN,LN & FAT,1/8"" FAT,ALL GRDS,CKD,GRILLED",56.48,264,26.44,16.78,1.03,0.0,0.0,0.0,19.0,1.69,22.0,204.0,328.0,54.0,4.75,0.079,0.009,28.5,0.0,0.071,0.127,7.037,0.521,0.553,8.0,0.0,8.0,8.0,100.7,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.3,11.0,1.6,6.608,6.993,0.621,88.0
570,"BEEF,SHRT LOIN,TOP LN,STK,LN & FAT,1/8"" FAT,CHOIC,CKD,GRLLD",54.99,278,26.16,18.45,1.02,0.0,0.0,0.0,17.0,1.75,21.0,195.0,316.0,52.0,4.65,0.085,0.009,28.1,0.0,0.065,0.115,7.095,0.515,0.521,8.0,0.0,8.0,8.0,99.6,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.3,12.0,1.6,7.264,7.688,0.683,97.0
571,"BEEF,TENDERLOIN,STEAK,LN & FAT,1/8"" FAT,ALL GRDS,CKD,BRLD",56.04,267,26.46,17.12,1.06,0.0,0.0,0.0,19.0,1.69,22.0,205.0,329.0,54.0,4.76,0.079,0.009,28.6,0.0,0.072,0.128,7.041,0.522,0.554,8.0,0.0,8.0,8.0,100.8,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.3,11.0,1.7,6.743,7.136,0.654,97.0
572,"BEEF,TOP SIRLOIN,STEAK,LN & FAT,1/8"" FAT,ALL GRDS,CKD,BRLD",58.36,243,26.96,14.23,1.11,0.0,0.0,0.0,20.0,1.73,22.0,209.0,336.0,56.0,4.87,0.081,0.009,29.2,0.0,0.073,0.13,7.176,0.531,0.564,8.0,0.0,8.0,8.0,102.7,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.2,9.0,1.6,5.603,5.93,0.547,92.0
573,"BEEF,BRISKET,FLAT HALF,BNLESS,LN & FAT,0"" FAT,CHOIC,RAW",69.47,169,20.15,9.86,0.96,0.0,0.0,0.0,13.0,1.98,22.0,212.0,349.0,79.0,4.93,0.069,0.002,21.6,0.0,0.07,0.154,6.115,0.647,0.586,3.0,0.0,3.0,3.0,61.3,1.68,12.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.16,0.1,4.0,1.5,3.704,4.772,0.398,67.0
574,"BEEF,BRISKET,FLAT HALF,BNLESS,LN & FAT,0"" FAT,SEL,RAW",70.52,158,20.57,8.45,1.01,0.0,0.0,0.0,12.0,2.02,22.0,206.0,336.0,82.0,5.05,0.063,0.002,25.4,0.0,0.079,0.154,5.875,0.73,0.597,3.0,0.0,3.0,3.0,58.6,1.88,13.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.11,0.1,4.0,1.5,3.424,4.307,0.384,69.0
575,"ALCOHOLIC BEV,BEER,REG,ALL",91.96,43,0.46,0.0,0.16,3.55,0.0,0.0,4.0,0.02,6.0,14.0,27.0,4.0,0.01,0.005,0.008,0.6,0.0,0.005,0.025,0.513,0.041,0.046,6.0,0.0,6.0,6.0,10.1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
576,"ALCOHOLIC BEV,BEER,LT",94.88,29,0.24,0.0,0.09,1.64,0.0,0.09,4.0,0.03,5.0,12.0,21.0,4.0,0.01,0.006,0.006,0.4,0.0,0.005,0.015,0.391,0.03,0.034,6.0,0.0,6.0,6.0,8.8,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
577,"BEVERAGES,ALMOND MILK,SWTND,VANILLA FLAVOR,RTD",91.8,38,0.42,1.04,0.32,6.59,0.4,6.25,188.0,0.3,7.0,8.0,50.0,63.0,0.63,0.017,0.033,0.1,0.0,0.015,0.177,0.075,0.009,0.003,1.0,0.0,1.0,1.0,1.0,1.25,208.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,2.81,1.0,42.0,0.0,0.0,0.625,0.208,0.0
578,"BEVERAGES,WHISKEY SOUR MIX,BTLD",78.2,87,0.1,0.1,0.2,21.4,0.0,21.4,2.0,0.11,1.0,6.0,28.0,102.0,0.07,0.0,0.0,0.4,2.7,0.013,0.01,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.002,0.02,0.0
579,"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 80 PROOF",66.6,231,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.04,0.0,4.0,2.0,1.0,0.04,0.021,0.018,0.0,0.0,0.006,0.004,0.013,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
580,"ALCOHOLIC BEV,DISTILLED,GIN,90 PROOF",62.1,263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
581,"ALCOHOLIC BEV,DISTILLED,RUM,80 PROOF",66.6,231,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.12,0.0,5.0,2.0,1.0,0.07,0.05,0.018,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
582,"BEVERAGES,ALMOND MILK,CHOC,RTD",88.43,50,0.63,1.25,0.37,9.38,0.4,8.75,188.0,0.53,12.0,19.0,75.0,71.0,0.63,0.067,0.083,0.2,4.4,0.022,0.177,0.103,0.035,0.006,1.0,0.0,1.0,1.0,2.0,1.25,208.0,63.0,62.0,0.0,0.0,0.0,0.0,0.0,2.81,1.0,42.0,0.0,0.0,0.625,0.208,0.0
583,"ALCOHOLIC BEV,WINE,DSSRT,SWT",70.51,160,0.2,0.0,0.3,13.69,0.0,7.78,8.0,0.24,9.0,9.0,92.0,9.0,0.07,0.045,0.119,0.5,0.0,0.018,0.018,0.213,0.032,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
584,"ALCOHOLIC BEV,WINE,TABLE,ALL",86.58,83,0.07,0.0,0.24,2.72,0.0,0.79,8.0,0.37,11.0,20.0,99.0,5.0,0.13,0.007,0.124,0.2,0.0,0.005,0.023,0.166,0.037,0.054,1.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,"BEVERAGES,ALMOND MILK,UNSWTND,SHELF STABLE",97.05,15,0.59,1.1,0.68,0.58,0.0,0.0,197.0,0.35,7.0,10.0,67.0,71.0,0.07,0.029,0.042,0.2,0.0,0.06,0.047,0.075,0.03,0.015,1.0,0.0,1.0,1.0,0.0,0.0,142.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,2.81,1.0,42.0,0.0,0.0,0.708,0.236,0.0
586,"ALCOHOLIC BEV,WINE,TABLE,RED",86.49,85,0.07,0.0,0.28,2.61,0.0,0.62,8.0,0.46,12.0,23.0,127.0,4.0,0.14,0.011,0.132,0.2,0.0,0.005,0.031,0.224,0.03,0.057,1.0,0.0,1.0,1.0,5.7,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
587,"ALCOHOLIC BEV,WINE,TABLE,WHITE",86.86,82,0.07,0.0,0.2,2.6,0.0,0.96,9.0,0.27,10.0,18.0,71.0,5.0,0.12,0.004,0.117,0.1,0.0,0.005,0.015,0.108,0.045,0.05,1.0,0.0,1.0,1.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
588,"BEVERAGES,CARB,CLUB SODA",99.9,0,0.0,0.0,0.1,0.0,0.0,0.0,5.0,0.01,1.0,0.0,2.0,21.0,0.1,0.006,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
589,"CARBONATED BEV,CRM SODA",86.7,51,0.0,0.0,0.1,13.3,0.0,13.3,5.0,0.05,1.0,0.0,1.0,12.0,0.07,0.008,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
590,"BEVERAGES,CARB,GINGER ALE",91.23,34,0.0,0.0,0.01,8.76,0.0,8.9,3.0,0.18,1.0,0.0,1.0,7.0,0.05,0.018,0.013,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
591,"BEVERAGES,CARB,LO CAL,OTHER THAN COLA OR PEPPER,WO/ CAFFEINE",99.8,0,0.1,0.0,0.1,0.0,0.0,0.0,4.0,0.04,1.0,0.0,2.0,6.0,0.0,0.025,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
592,"BEVERAGES,CARB,LEMON-LIME SODA,NO CAFFEINE",89.49,41,0.09,0.0,0.0,10.42,0.0,10.38,2.0,0.02,1.0,0.0,1.0,10.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
593,"BEVERAGES,CARB,SPRITE,LEMON-LIME,WO/ CAFFEINE",89.78,40,0.05,0.02,0.01,10.14,0.0,8.98,2.0,0.11,1.0,0.0,1.0,9.0,0.04,0.001,0.002,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
594,"BEVERAGES,CARB,LO CAL,COLA OR PEPPER-TYPE,W/ ASPRT,WO/ CAF",99.74,1,0.12,0.0,0.03,0.12,0.0,0.0,3.0,0.02,0.0,10.0,7.0,4.0,0.01,0.002,0.0,0.1,0.0,0.005,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
595,"BEVERAGES,CARB,COLA,WO/ CAFFEINE",89.62,41,0.0,0.0,0.06,10.58,0.0,10.58,2.0,0.02,0.0,11.0,3.0,4.0,0.01,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
596,"BEVERAGES,CARB,COLA,REG",89.36,42,0.0,0.25,0.04,10.36,0.0,9.94,1.0,0.02,0.0,9.0,5.0,3.0,0.09,0.007,0.003,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
597,"BEVERAGES,CARB,RED SUGAR,COLA,CONTAINS CAFFEINE & SWEETENERS",94.78,20,0.0,0.0,0.06,5.16,0.0,5.16,2.0,0.02,0.0,11.0,3.0,4.0,0.01,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
598,"BEV,CARB,LO CAL,OTHER THAN COLA OR PEPPER,W/ ASPRT, CAFFEINE",99.8,0,0.1,0.0,0.1,0.0,0.0,0.0,4.0,0.04,1.0,0.0,2.0,6.0,0.0,0.025,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
599,"BEVERAGES,CARB,TONIC H2O",91.1,34,0.0,0.0,0.1,8.8,0.0,8.8,1.0,0.01,0.0,0.0,0.0,12.0,0.1,0.006,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,"BEVERAGES,CARB,ROOT BEER",89.3,41,0.0,0.0,0.1,10.6,0.0,10.6,5.0,0.05,1.0,0.0,1.0,13.0,0.07,0.007,0.013,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
601,"BEVERAGES,COFFEE,READY TO DRK,MILK BSD,SWTND",83.56,71,1.98,1.38,0.47,12.6,0.0,10.67,74.0,0.04,9.0,59.0,175.0,26.0,0.26,0.002,0.012,0.0,0.0,0.043,0.193,1.32,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,1.0,0.1,0.0,0.293,0.038,5.0
602,"BEVERAGES,COFFEE,BREWED,BRKFST BLEND",99.47,2,0.3,0.0,0.0,0.23,0.0,0.0,2.0,0.02,4.0,3.0,50.0,1.0,0.02,0.005,0.032,0.0,0.0,0.02,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
603,"BEVERAGES,COFFEE,READY TO DRK,ICED,MOCHA,MILK BSD",85.68,60,1.48,0.98,0.44,11.42,0.0,9.23,52.0,0.09,9.0,59.0,136.0,31.0,0.15,0.002,0.029,0.0,0.0,0.053,0.16,0.513,0.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
604,"BEVERAGES,TEA,OOLONG,BREWED",99.84,1,0.0,0.0,0.02,0.15,0.0,0.0,1.0,0.0,1.0,1.0,12.0,3.0,0.01,0.0,0.21,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
605,"BEVERAGES,TEA,GRN,READY TO DRK,GINSENG & HONEY,SWTND",92.65,30,0.0,0.18,0.0,7.16,0.0,6.87,3.0,0.02,1.0,0.0,5.0,2.0,0.01,0.005,0.12,0.0,7.7,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
606,"BEVERAGES,COFFEE,BREWED,PREP W/ TAP H2O,DECAFFEINATED",99.3,0,0.1,0.0,0.1,0.0,0.0,0.0,2.0,0.05,5.0,1.0,54.0,2.0,0.02,0.007,0.027,0.1,0.0,0.0,0.0,0.222,0.001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.002,0.0,0.002,0.0
607,"BEVERAGES,COFFEE,BREWED,ESPRESSO,REST-PREP,DECAFFEINATED",97.8,9,0.1,0.18,0.23,1.69,0.0,0.0,2.0,0.13,80.0,7.0,115.0,14.0,0.05,0.05,0.05,0.0,0.2,0.001,0.177,5.207,0.028,0.002,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.092,0.0,0.092,0.0
608,"BEVERAGES,COFFEE,BREWED,PREP W/ TAP H2O",99.39,1,0.12,0.02,0.35,0.0,0.0,0.0,2.0,0.01,3.0,3.0,49.0,2.0,0.02,0.002,0.023,0.0,0.0,0.014,0.076,0.191,0.254,0.001,2.0,0.0,2.0,2.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.1,0.002,0.015,0.001,0.0
609,"BEVERAGES,COFFEE,BREWED,ESPRESSO,REST-PREP",97.8,9,0.12,0.18,0.23,1.67,0.0,0.0,2.0,0.13,80.0,7.0,115.0,14.0,0.05,0.05,0.05,0.0,0.2,0.001,0.177,5.207,0.028,0.002,1.0,0.0,1.0,1.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.1,0.092,0.0,0.092,0.0
610,"BEVERAGES,COFFEE SUB,CRL GRAIN BEV,PREP W/ H2O",98.37,6,0.1,0.04,0.18,1.3,0.4,0.08,4.0,0.08,5.0,10.0,41.0,5.0,0.01,0.013,0.019,1.1,0.0,0.007,0.002,0.294,0.023,0.012,1.0,0.0,1.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.02,0.0,0.0,0.0,0.01,0.006,0.02,0.0
611,"ALCOHOLIC BEV,MALT BEER,HARD LEMONADE",85.74,68,0.0,0.0,0.13,10.07,0.0,9.77,4.0,0.03,4.0,7.0,27.0,5.0,0.01,0.008,0.006,0.3,2.8,0.006,0.01,0.225,0.041,0.022,4.0,0.0,4.0,4.0,4.4,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
612,"BEVERAGES,AMBER,HARD CIDER",89.0,56,0.0,0.0,1.35,5.92,0.0,5.92,4.0,0.06,3.0,6.0,54.0,4.0,0.02,0.018,0.018,0.0,2.3,0.009,0.013,0.045,0.03,0.021,1.0,0.0,1.0,1.0,1.7,0.0,27.0,1.0,0.0,0.0,14.0,5.0,0.0,15.0,0.09,0.0,0.0,1.1,0.0,0.0,0.0,0.0
